cnt,lemma,ru
179,I,I
137,you,Вы
129,be,быть
100,it,IT
99,to,к
96,a,a
95,the,-
93,s,s
75,that,что
65,and,и
50,of,of
44,t,t
43,in,в
39,have,быть
38,he,он
36,just,только что
36,do,do
36,we,ср
36,this,это
35,what,что
34,know,знать
32,like,такие как
30,yeah,да
29,no,Нет
28,with,при:
27,m,м
27,but,но
27,for,по
25,don,Дон
24,here,здесь —
23,not,не
22,guy,Средство
22,all,все
21,ok,ok
21,make,марка
21,re,re
21,so,so
20,get,взять
19,look,смотреть
19,go,попытка
19,out,вылет
19,richard,richard
18,my,мой
18,always,всегда
18,now,сейчас
18,your,вращаются
17,about,about
17,gavin,"""Гэвин ..."""
17,think,думать
17,right,right
17,if,если
17,uh,Ммм...
16,take,взять
16,up,ввверх
16,on,вкл
15,want,хотеть
15,how,как
14,dollar,доллар
14,say,Сэй
14,can,может
14,there,там
14,hooli,hooli
13,gregory,gregory
13,mean,среднее значение
13,well,ну
13,pie,круговая диаграмма
13,company,компания
13,see,видеть
12,give,дай
12,or,ХХХ
12,money,деньги
12,at,в
12,piper,PERETS
11,people,люди 
11,peter,peter
11,let,дай/пусть
11,blue,синий
11,when,при
11,oh,ой
11,really,действительно
10,they,они
10,shit,говно
10,an,вышеуказанный
10,font,шрифт
10,million,млн
10,man,мужчина
10,ll,ll
9,world,мир
9,hey,Эй 
9,will,---
9,big,большой
9,belson,белсон
9,head, 
9,time,время
9,need,нуждаться
9,back,оборотная сторона
9,even,даже
8,college,колледж
8,some,некоторые
8,ve,в силу
8,one,*
8,why,рекомендуется
8,could,мог
7,own,собственный
7,because,по
7,work,работа
7,way,способ
7,great,большой
7,come,приходить
7,something,что-то
7,talk,разговаривать
7,actually,на самом деле
7,his,его
7,place,место
6,build,строить
6,call,звонок
6,where,где:
6,good,хорошо
6,find,найдите
6,live,жить
6,would,бы
6,music,музыка
6,yes,Да
6,na,Нет данных
6,these,эти
6,maybe,возможно
6,meet,встречать 
6,happen,случиться
6,fuck,Fuckel
6,another,другой
6,should,должен
5,dude,dude
5,um,мкм
5,drop,капля
5,tell,рассказывать
5,offer,предлагать
5,hi,привет
5,color,цвет
5,over,&amp;
5,percent,процент
5,erlich,erlich
5,job,заказ
5,thousand,тысяча
5,holy,Святое
5,silicon,Кремний
5,down,"в виде стрелки,"
5,site,производственный объект
5,five,5
5,website,сайт
5,idea,идея
5,gon,Gon
5,then,потом 
5,valley,долина
4,month,Врем я мес.
4,attack,атаковать
4,from,от
4,sorry,сожалею
4,hear,слышать
4,ah,Амч
4,minute,минуты
4,sound,- звук
4,much,намного
4,hole,трещины
4,thing,вещь
4,end,в конце
4,soup,суп
4,turn,повернуть
4,binary,двоичный
4,goolybib,гулибиб
4,fucking,Половой акт
4,value,значение
4,file,файл
4,any,любой
4,d,д
4,song,песня
4,wait,ждать
4,most,большинство
4,aviato,aviato
4,pitch,тангаж
4,didn,did
4,write,писать
4,very,очень
4,asshole,asshole
4,more,еще
4,search,поиск
4,who,кто
4,compression,сжатие
4,as,в качестве
4,again,снова
4,taste,пробовать
4,into,в
4,use,использование
3,day,день
3,ever,когда-нибудь
3,excite,Возбуждать
3,whoo,Ух ты
3,match,совпадение
3,four,4.
3,panic,паника
3,high,очень
3,first,первая
3,other,другое
3,our,наш
3,app,приложение
3,sell,что то продать
3,by,кем
3,software,программное обеспечение
3,incubator,incubator
3,away,пройти
3,code,Нет
3,whatever,что угодно
3,different,разный
3,net,нетто
3,those,те
3,around,вокруг которой
3,love,любовь
3,ricky,ricky
3,imagine,воображать
3,amazing,змечательно
3,www,www
3,through,через
3,kid,моя гимнастическая растяжка
3,she,она
3,decision,решение
3,hello,здравствуйте
3,until,до
3,car,автомобиль
3,shoot,стреляйте
3,blow,ударять
3,part,деталь 
3,sure,конечно
3,hendrick,hendrick
3,number,номер
3,application,применения
3,face,лицо
3,figure,изображение
3,size,размер
3,which,какой/который
3,half,половина
3,fast,быстрый
3,compress,compress
3,keep,держать
3,change,диаметра
3,jesus,Иисус
3,before,до
3,guess,представлять
3,try,пробовать
3,hundred,сто
3,phone,Телефон
3,k,k
3,team,команда
3,steve,Стив
3,only,только
3,partner,партнер
3,isn,ISN
3,help,help
3,three,три 
2,shitty,"что делаешь
"
2,eric,eric
2,writer,писатель
2,intangible,Нематериальные
2,win,побеждать
2,copyright,авторское право
2,potential,потенциал
2,whole,весь
2,true,true
2,sexual,сексуальная
2,reach,добраться
2,worse,хуже
2,dark,темный
2,rock,скала
2,mobile,Мобильный
2,create,создавайте
2,business,бизнес
2,bunch,Связка
2,small,маленький
2,seat,место
2,personal,личных
2,long,долгий
2,af,af
2,provide,предоставьте
2,e,e
2,seppuku,сэппуку
2,boy,мальчик
2,steal,красть
2,b,b
2,mr,g-n
2,correct,&amp;
2,ten,десять
2,either,или
2,piece,шт.
2,play,пьеса
2,com,www.dnv.
2,fund,фонды
2,satanist,"{Gender}|gender(Сатанист,Сатанистка)"
2,algorithm,алгоритм
2,schmidt,Шмидт
2,start,начинается
2,regret,Потеря
2,sync,синхронизация
2,friend,дружище
2,ed,на
2,humanity,человечество
2,than,потом
2,programmer,программирующего устройства
2,group,экспозицией
2,bit,небольшое количество
2,self,быть лучшим собой
2,fine,штраф
2,theistic,теистический
2,tendency,тенденция
2,cross,пересечь
2,stupid,глупый 
2,eye,Раздражение
2,still,до сих пор
2,wozniak,Возняк
2,zero,ноль
2,skinny,тощий
2,difference,разница
2,exactly,точно
2,interested,заинтересованный
2,baby,ребёнок
2,grindr,Grindr
2,addic,addic
2,infringe,нарушать
2,viking,викинг
2,tomorrow,завтра
2,commitment,пакета обязательств
2,please,пожалуйста
2,multi,Множественный
2,realize,реализовать
2,worth,на сумму
2,innovative,инновационная компания
2,become,становиться
2,lot,сильно
2,poor,бедный
2,proprietary,коммерческий
2,datum,Данные; элемент данных
2,billion,млрд
2,thank,благодарю
2,heart,сердце
2,achieve,достигать
2,fly,летать
2,pay,платить
2,send,отправить
2,kick,удар
2,feel,чувствовать
2,walk,гулять
2,incredible,невероятный
2,sit,сидеть
2,somebody,somebody
2,expensive,дорогой
2,able,способный
2,alto,ALTO
2,outside,снаружи
2,lord,Господин
2,track,отслеживать
2,god,боже
2,terrible,ужасный
2,bike,велосипед
2,hell,ад
2,nike,Nike
2,palo,palo@ item partition flag
2,eat,есть
2,jar,удар
2,prepare,готовить
2,totally,всего
2,their,их
2,travel,поездка
2,party,третьих
2,shrimp,креветки
2,leave,отпуск
2,himself,себя
2,house,дом
2,bring,принести
2,easy,просто
2,wouldn,бы
2,run,бегу
2,girl,девочка
2,link,ссылка
2,anyway,в любом случае
2,remember,помнить
2,medium,средний
2,cult,CULT
2,while,пока
2,home,главная
2,te,температура
2,user,пользователь
2,bachman,Бахман
2,woman,женщина
2,brogrammer,брограммер
2,cum,итого
2,google,google
2,prototype,прототип
2,drive,Переменного тока
2,blind,глухая
1,reuse,дальнейшим использованием. 
1,section,раздел
1,relationship,отношения
1,asperger,ASPERGERA SINDROM
1,night,ночь
1,ad,объявление
1,dick,Дик
1,many,много
1,everyone,все
